date,id,YOLL1,YOLL2,YOLL3,humrel,meantemp,maxtemp,mintemp,o3,year,month,week,YLL,month_mean,yll_total,HW,HW_lag1,HW_lag2,HW_lag3,o3_lag1,o3_lag2,o3_lag3,HW_lag0_2,no2,no2_lag1,no2_lag2,no2_lag3,total_death
6/18/1991,110,957.82,858.75,880.76,66.5,22.28,28.6,14.5,27.0833,2,1,3,2697.33,19.30185,2697.33,0,0,0,0,24.16667,8.333333,16.25,0,40.04844,28.95469,16.88469,37.34156,38
6/19/1991,111,1336.88,914.07,508.49,61.5,23.65,28.9,17.1,37.9167,2,1,3,2759.44,19.30185,2759.44,0,0,0,0,27.08333,24.16667,8.333333,0,43.70937,40.04844,28.95469,16.88469,42
6/20/1991,112,895.41,738.51,393.31,60.6,23.66,27.8,20.1,31.6667,2,1,3,2027.23,19.30185,2027.23,0,0,0,0,37.91667,27.08333,24.16667,0,35.21446,43.70937,40.04844,28.95469,31
6/21/1991,113,984.42,970.12,634.57,53,19.88,22.8,14.8,18.3333,2,1,3,2589.11,19.30185,2589.11,0,0,0,0,31.66667,37.91667,27.08333,0,29.42063,35.21446,43.70937,40.04844,36
6/22/1991,114,1310.04,672.22,627.39,57.4,16.03,19.9,11.7,15.8333,2,1,4,2609.65,19.30185,2609.65,0,0,0,0,18.33333,31.66667,37.91667,0,21.96563,29.42063,35.21446,43.70937,39
6/23/1991,115,1116.85,765.05,797.76,51.5,18.38,24.1,9.2,17.0833,2,1,4,2679.66,19.30185,2679.66,0,0,0,0,15.83333,18.33333,31.66667,0,22.56469,21.96563,29.42063,35.21446,39
6/24/1991,116,835.93,967.15,799.82,52.2,20.3,26.2,12.1,30.4167,2,1,4,2602.9,19.30185,2602.9,0,0,0,0,17.08333,15.83333,18.33333,0,40.53656,22.56469,21.96563,29.42063,38
6/25/1991,117,1433.18,1171.64,566.79,50,22.59,28.4,16.8,27.0833,2,1,4,3171.61,19.30185,3171.61,0,0,0,0,30.41667,17.08333,15.83333,0,42.79969,40.53656,22.56469,21.96563,46
6/26/1991,118,1002.95,468.8,1008.76,51.2,23.8,29.1,18.2,52.0833,2,1,4,2480.51,19.30185,2480.51,0,0,0,0,27.08333,30.41667,17.08333,0,42.7775,42.79969,40.53656,22.56469,37
6/27/1991,119,1189.87,646.35,600.01,61.7,24.3,30.4,20.7,62.5,2,1,4,2436.23,19.30185,2436.23,1,0,0,0,52.08333,27.08333,30.41667,0.3333333,32.34938,42.7775,42.79969,40.53656,36
7/3/1991,125,1258.31,1402.32,737.92,48.4,22.22,27.5,13.1,28.2609,2,2,5,3398.55,21.39427,3398.55,0,0,0,0,,,,0,40.6475,38.45094,3.527812,3.217187,49
7/4/1991,126,852.33,969.41,991.9,53.6,23,27.2,17.4,40.4167,2,2,5,2813.64,21.39427,2813.64,0,0,0,0,28.26087,,,0,34.94531,40.6475,38.45094,3.527812,41
7/5/1991,127,1146.78,632.53,882.01,80.9,17.31,20.3,16.1,25.4167,2,2,5,2661.32,21.39427,2661.32,0,0,0,0,40.41667,28.26087,,0,32.62141,34.94531,40.6475,38.45094,39
7/6/1991,128,1168.85,987.08,316.93,77.6,20.59,25.2,16.4,28.75,2,2,6,2472.86,21.39427,2472.86,0,0,0,0,25.41667,40.41667,28.26087,0,31.87739,32.62141,34.94531,40.6475,36
7/7/1991,129,1109.15,392.45,513.25,70.7,23.43,27.9,19.3,33.3333,2,2,6,2014.85,21.39427,2014.85,0,0,0,0,28.75,25.41667,40.41667,0,27.82891,31.87739,32.62141,34.94531,28
7/8/1991,130,1177.64,667.97,702.29,71.1,21.11,24.3,17.2,20.8696,2,2,6,2547.9,21.39427,2547.9,0,0,0,0,33.33333,28.75,25.41667,0,38.34,27.82891,31.87739,32.62141,37
7/9/1991,131,1116.16,423.32,631.46,53,17,22.2,12.6,15.2174,2,2,6,2170.94,21.39427,2170.94,0,0,0,0,20.86957,33.33333,28.75,0,33.5475,38.34,27.82891,31.87739,32
7/10/1991,132,1043.56,886.29,820.94,58.5,18.13,23.4,13.6,12.9167,2,2,6,2750.79,21.39427,2750.79,0,0,0,0,15.21739,20.86957,33.33333,0,35.94375,33.5475,38.34,27.82891,38
7/11/1991,133,1095.83,961,856.11,57.4,19.26,25.2,12.8,9.13043,2,2,6,2912.94,21.39427,2912.94,0,0,0,0,12.91667,15.21739,20.86957,0,34.63469,35.94375,33.5475,38.34,41
7/12/1991,134,1087.17,446.51,963.12,59.9,20.39,24.9,12.6,18.75,2,2,6,2496.8,21.39427,2496.8,0,0,0,0,9.130435,12.91667,15.21739,0,37.0975,34.63469,35.94375,33.5475,36
